00:00:27.316 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
05:46:00.919 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
05:47:00.125 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
05:47:59.755 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
05:49:02.465 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
05:50:02.772 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
05:51:02.615 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
05:52:04.259 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
05:53:04.178 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
05:54:00.590 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
05:55:06.405 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
05:56:02.081 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
05:57:05.442 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
05:58:05.647 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
05:59:06.228 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:00:07.227 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:01:07.747 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:02:03.220 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:03:05.483 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:04:03.511 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:05:06.777 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:06:09.796 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:07:07.153 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:08:07.980 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:09:10.765 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:10:05.898 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:11:09.037 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:12:06.015 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:13:09.365 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:14:07.916 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:15:09.601 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:16:12.272 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:17:12.207 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:18:13.468 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:19:11.197 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:20:10.714 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:21:13.720 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:22:11.721 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:23:08.826 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:24:13.498 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:25:14.846 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:26:14.332 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:27:14.163 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:28:10.380 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:29:12.070 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:30:13.523 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:31:16.502 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:32:17.295 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:33:17.803 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:34:12.478 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:35:17.240 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:36:16.766 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:37:13.402 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:38:12.145 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:39:13.912 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:40:13.372 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:41:13.753 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:42:11.927 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:43:13.194 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:44:15.397 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:45:14.317 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:46:15.772 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:47:15.910 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:48:15.468 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:49:14.138 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:50:15.475 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:51:14.311 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:52:16.422 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:53:16.003 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:54:17.810 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:55:18.297 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:56:19.625 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:57:19.953 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:58:19.912 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
06:59:18.910 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:00:20.397 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:01:19.196 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:02:20.835 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:03:18.316 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:04:18.711 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:05:20.112 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:06:22.613 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:07:23.358 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:08:23.069 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:09:22.385 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:10:24.122 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:11:21.572 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:12:23.150 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:13:24.260 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:14:25.515 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:15:22.875 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:16:26.125 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:17:26.406 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:18:26.082 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:19:25.614 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:20:25.103 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:21:28.164 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:22:25.406 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:23:26.132 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:24:29.459 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:25:31.760 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:26:26.489 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:27:27.557 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:28:30.081 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:29:30.766 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:30:27.621 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:31:28.763 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:32:31.919 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:33:29.906 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:34:30.438 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:35:30.201 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:36:31.310 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:37:34.282 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:38:30.228 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:39:34.187 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:40:30.723 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:41:33.542 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:42:32.084 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:43:33.432 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:44:32.009 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:45:36.315 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:46:34.089 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:47:34.435 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:48:34.013 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:49:34.154 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:50:36.411 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:51:36.966 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:52:37.109 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:53:35.551 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:54:41.951 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:55:36.030 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:56:40.590 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:57:40.003 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:58:40.532 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
07:59:39.937 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:00:40.076 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:01:45.311 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:02:39.620 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:03:37.568 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:04:44.698 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:05:42.655 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:06:36.353 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:07:37.370 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:08:37.450 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:09:38.248 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:10:38.570 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:11:39.407 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:12:39.457 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:13:41.601 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:14:41.351 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:15:40.643 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
08:16:42.500 [pool-1-thread-1] INFO  c.t.s.p.consumer.ConsumerLoop -    >>>operation=INSERT, fullTableName=LS_EBAO.T_STREAMING_ETL_HEALTH_CDC
